q1,q2,q3,q4,q5,x,y,z,1
0.0,0.0,2.443460952792061,0.0,6.283185307179586,-40.447,0.0,0.0,0.0
0.0,0.0,2.443460952792061,1.0471975511965976,0.0,-20.224,0.0,0.0,0.0
0.0,0.0,2.443460952792061,1.0471975511965976,2.0943951023931953,10.112,0.0,0.0,0.0
0.0,0.0,2.443460952792061,1.0471975511965976,4.1887902047863905,10.112,0.0,0.0,0.0
0.0,0.0,2.443460952792061,1.0471975511965976,6.283185307179586,-20.224,0.0,0.0,0.0
0.0,0.0,2.443460952792061,2.0943951023931953,0.0,20.224,0.0,0.0,0.0
0.0,0.0,2.443460952792061,2.0943951023931953,2.0943951023931953,-10.112,0.0,0.0,0.0
0.0,0.0,2.443460952792061,2.0943951023931953,4.1887902047863905,-10.112,0.0,0.0,0.0
0.0,0.0,2.443460952792061,2.0943951023931953,6.283185307179586,20.224,0.0,0.0,0.0
0.0,0.0,2.443460952792061,3.141592653589793,0.0,40.447,0.0,0.0,0.0
0.0,0.0,2.443460952792061,3.141592653589793,2.0943951023931953,-20.224,0.0,0.0,0.0
0.0,0.0,2.443460952792061,3.141592653589793,4.1887902047863905,-20.224,0.0,0.0,0.0
0.0,0.0,2.443460952792061,3.141592653589793,6.283185307179586,40.447,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,0.0,0.0,-45.726,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,0.0,2.0943951023931953,22.863,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,0.0,4.1887902047863905,22.863,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,0.0,6.283185307179586,-45.726,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,1.0471975511965976,0.0,-22.863,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,1.0471975511965976,2.0943951023931953,11.432,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,1.0471975511965976,4.1887902047863905,11.432,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,1.0471975511965976,6.283185307179586,-22.863,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,2.0943951023931953,0.0,22.863,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,2.0943951023931953,2.0943951023931953,-11.432,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,2.0943951023931953,4.1887902047863905,-11.432,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,2.0943951023931953,6.283185307179586,22.863,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,3.141592653589793,0.0,45.726,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,3.141592653589793,2.0943951023931953,-22.863,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,3.141592653589793,4.1887902047863905,-22.863,0.0,0.0,0.0
0.0,0.0,3.6651914291880923,3.141592653589793,6.283185307179586,45.726,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,0.0,0.0,12.177,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,0.0,2.0943951023931953,-6.088,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,0.0,4.1887902047863905,-6.088,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,0.0,6.283185307179586,12.177,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,1.0471975511965976,0.0,6.088,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,1.0471975511965976,2.0943951023931953,-3.044,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,1.0471975511965976,4.1887902047863905,-3.044,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,1.0471975511965976,6.283185307179586,6.088,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,2.0943951023931953,0.0,-6.088,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,2.0943951023931953,2.0943951023931953,3.044,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,2.0943951023931953,4.1887902047863905,3.044,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,2.0943951023931953,6.283185307179586,-6.088,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,3.141592653589793,0.0,-12.177,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,3.141592653589793,2.0943951023931953,6.088,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,3.141592653589793,4.1887902047863905,6.088,0.0,0.0,0.0
0.0,1.3380857598623195,0.0,3.141592653589793,6.283185307179586,-12.177,0.0,0.0,0.0
0.0,1.3380857598623195,1.2217304763960306,0.0,0.0,4.165,0.0,0.0,0.0
0.0,1.3380857598623195,1.2217304763960306,0.0,2.0943951023931953,-2.082,0.0,0.0,0.0
0.0,1.3380857598623195,1.2217304763960306,0.0,4.1887902047863905,-2.082,0.0,0.0,0.0
0.0,1.3380857598623195,1.2217304763960306,0.0,6.283185307179586,4.165,0.0,0.0,0.0
0.0,1.3380857598623195,1.2217304763960306,1.0471975511965976,0.0,2.082,0.0,0.0,0.0
0.0,1.3380857598623195,1.2217304763960306,1.0471975511965976,2.0943951023931953,-1.041,0.0,0.0,0.0
